Applicant Details,,"Eligibility Criteria
Decision Box – Eligibility
application_528_bundle.zip,Applicant_528,DSD/37/207/01/97208,Kakamega,Other,Bank Statement,746610173,Fail,Out of scope in value chain,5,fuctioning governance,2,Turnover <1M; sporadic records,3,regular local sells,3,Direction clear; targets generic; budget rough.,3,Priority VC; weak linkages; potential to upgrade.,3,Moderate inclusion;,P1,,100,40,60,60,60,60,10,8,12,15,9,6,60,5,55,320,
application_529_bundle.zip,Applicant_529,DSS/MMS/WG/0848/2014,Kakamega,Other,Bank Statement,708761304,Fail,Out of scope in value chain,5,functioning governance,1,Minimal/irregular transactions;,2,Intermittent sales;,3,Direction clear;,2,Peripheral role; unclear node.,2,Low inclusion; ad-hoc green steps.,P1,,100,20,40,60,40,40,10,4,8,15,6,4,47,5,42,440,
application_530_bundle.zip,Applicant_530,DSD/37/207/01/97212,Kakamega,Other,Bank Statement,757844836,Fail,Out of scope in value chain,1,registration unclear,2,less than 1M and sparadic records,4,bank records and registration form show consistent orders,4,clear problem-solution,4,they have high node perticipation and potential to upgrade,3,>50% women participation,DQ1,,20,40,80,80,80,60,2,8,16,20,12,6,64,#N/A,0,520,
application_531_bundle.zip,Applicant_531,CPR/2013/99042,Makueni,Minerals,Invalid Bank statement,740409701,Fail,Invalid Bank statement,5,Registered for 8 years,0,Unverifiable financial statements,2,market penetration is not yet fully diversified.,4,The business cannot independently scale to the next stage without significant financial and technical support.,4,VC role is substantial but not fully integrated across the entire value chain; still some marginal gaps in downstream value addition.,4,Partial implementation of green initiatives and sustainability plans,,Tier 2,100,0,40,80,80,80,10,0,8,20,12,8,58,0,58,284,
application_532_bundle.zip,Applicant_532, PVT-XYUXE9D,Kiambu,Dairy,Bank and Mpesa Statement,722410067,Pass,All Requirements met,5, functioning governance ,5,Turnover ≥ KES 10M; positive 2,4,Consistent monthly orders,3, Direction clear; targets generic; budget rough,4,clear node participation; some linkages,4, Strong gender/youth participation,,Tier 2,100,100,80,60,80,80,10,20,16,15,12,8,81,0,81,78,Emmanuel
application_533_bundle.zip,Applicant_533,PVT-XYUPY9,Kiambu,Construction,Bank Statement,710507147,Pass,All Requirements met,5, functioning governance ,3,1–<5M; stable or recovering; at least one statement.,3,Regular local sales,3, Direction clear; targets generic; budget rough,3,weak linkages; potential to upgrade,4, Strong gender/youth participation,,Tier 2,100,60,60,60,60,80,10,12,12,15,9,8,66,0,66,200,Emmanuel
application_534_bundle.zip,Applicant_534,CS/15409,Bomet,Dairy,Bank Statement,722146982,Pass,All Requirements met,5, functioning governance ,4,mostly stable; bank/Mpesa + one statement.,4,Consistent monthly orders; growing channels,3, Direction clear; targets generic; budget rough,3,weak linkages; potential to upgrade,2,Low inclusion; ad-hoc green step,,Tier 1,100,80,80,60,60,40,10,16,16,15,9,4,70,0,70,166,Emmanuel
application_535_bundle.zip,Applicant_535, ASS-CE6D2D4,Tharaka Nithi,Other,Bank Statement,712435565,Fail,Out of scope in value chain,5,Verified registration certificate with a good structure.,3,Verified bank statements showing stable transactions.,4,Consistent deposits showing active participation and steady market demand.,4,He a gave a short clear plan with their solution.,4,Key player in daily in dairy value chain supplying feed to farmers and dairies.,3,There is more than half percent of women with no green practices.,,,100,60,80,80,80,60,10,12,16,20,12,6,76,0,76,119,
application_536_bundle.zip,Applicant_536,BTR/DSS/CBO/0126/2022,Kakamega,Other,Bank Statement,714031789,Fail,Out of scope in value chain,5,registered>3yrs,2,Turnover<1M,4,consistent monthly orders,2,Vague plan; limited targets; unclear resourcing,2,Peripheral role,5,>50% women and 3 green practices,,,100,40,80,40,40,100,10,8,16,10,6,10,60,0,60,266,
application_537_bundle.zip,Applicant_537,BTR/DSS/CBO/9577/2014,Kakamega,Other,Bank Statement,727636412,Fail,Out of scope in value chain,5,registered>3yrs,1,minimal transactions,1,sporadic sales,2,limited targets,2,low inclusion,5,>50% women with 3 green practices,,,100,20,20,40,40,100,10,4,4,10,6,10,44,0,44,423,
application_538_bundle.zip,Applicant_538,CS/25352,Busia,Other,Invalid Bank statement,705368596,Fail,Out of scope in value chain,4,Registered for 5 years with basic structure ,0,No financial evidence,3,Consistent monthly orders with growing channels but no use of digital marketing,3,Clear direction but generic growth strategy,0,Out of scope in value chain,4,Majority female and youth with one sustainability practice,,,80,0,60,60,0,80,8,0,12,15,0,8,43,0,43,430,
application_539_bundle.zip,Applicant_539,BN-7ZCVE786,Makueni,Other,Invalid mpesa statement,715781830,Fail,Out of scope in value chain,5,Legally registered and active for more than 3 years ,3,Turn over of between 5M- 10M with a positive recovery trend,4,"Active local demand, digital channels (social media and commerce)",4,"Expansion with X-ray and Doppler ultrasound equipment,job creation potential,clear investment plan",0,Not in any priority VC ,5,"83& women staff,all youths -led,high hygiene,fare prices community orientated ",,Tier 2,100,60,80,80,0,100,10,12,16,20,0,10,68,0,68,185,
application_540_bundle.zip,Applicant_540,CS7295,West Pokot,Dairy,Bank Statement,729504204,Pass,All Requirements met,5, functioning governance ,5,Turnover ≥ KES 10M; positive 2,4,Consistent monthly orders,3, Direction clear; targets generic; budget rough,2, unclear node,2,Low inclusion,,Tier 1,100,100,80,60,40,40,10,20,16,15,6,4,71,0,71,153,Emmanuel
application_541_bundle.zip,Applicant_541,DSD/KAM/5/4/18(697),Nairobi,Textile,Bank Statement,725650143,Pass,All Requirements met,5, functioning governance ,2,sporadic records,2,weak sales  channels,2,limited targets; unclear resourcing.,2, unclear node,4,Strong gender/youth participation,,Tier 1,100,40,40,40,40,80,10,8,8,10,6,8,50,0,50,370,Emmanuel
application_542_bundle.zip,Applicant_542, CS12587,Bungoma,Other,Balance sheet,726954843,Fail,Out of scope in value chain,5,Registered more than 5 years with functioning governance,5,Turnover above 5M-evidence from two statements,4,"Multi channel sales, B2B, B2C and exports. No clear description on price and quality",2,Vague plan withundefined recourcing and targets or timelines,0,Out of scope in value chain,2,Token inclusion of women with ad-hoc green steps,,,100,100,80,40,0,40,10,20,16,10,0,4,60,0,60,266,
application_543_bundle.zip,Applicant_543, CS/537,Bungoma,Dairy,Bank statement,703691695,Pass,All Requirements met,5, functioning governance ,3,stable financial position,2, weak channels,2, Vague plan; limited targets,2, unclear node,3,Moderate inclusion,,Tier 1,100,60,40,40,40,60,10,12,8,10,6,6,52,0,52,344,Emmanuel
application_544_bundle.zip,Applicant_544,CS/16787,Bungoma,Dairy,Bank statement,720287086,Pass,All Requirements met,5, functioning governance ,3,stable financial position,2,weak market demand challange,1,Aspirational; no plan,1,Marginal link.,3,Moderate inclusion,,Tier 1,100,60,40,20,20,60,10,12,8,5,3,6,44,0,44,423,Emmanuel
application_545_bundle.zip,Applicant_545,CS/16363,Bungoma,Dairy,Bank statement,715669132,Pass,All Requirements met,5, functioning governance ,4,mostly stable financial position,1,Sporadic sales; no channels,1,Aspirational; no plan,1,Marginal link.,3,Moderate inclusion,,Tier 1,100,80,20,20,20,60,10,16,4,5,3,6,44,0,44,423,Emmanuel
application_546_bundle.zip,Applicant_546, PVT-ZQUJQBA,Nairobi,Construction,Mpesa statement,710595641,Pass,All Requirements met,5, functioning governance ,3,stable financial position,2,Intermittent sales; weak channels,2, Vague plan; limited targets,2,: Peripheral role; unclear node.,3,Moderate inclusion,,Tier 2,100,60,40,40,40,60,10,12,8,10,6,6,52,0,52,344,Emmanuel
application_547_bundle.zip,Applicant_547,PVT-27U5J22M,Kirinyaga,Other,Invalid financial statement,720125165,Fail,Out of scope in value chain,5,"Registered ≥3 years, with clear governance, formal structure, and active operations demonstrating strong track record",2,"Financial records are available and show positive growth, but total annual turnover remains below KES 1 million threshold",4,"Clear demand from MSMEs and competitive service differentiation, though business scale and reach remain modest",5,"Business proposal is detailed, logical, and demonstrates high feasibility and growth potential.",0,Out of scope in value chain,5,"Meets full inclusivity and sustainability indicators — woman-led, youth-engaged, environmentally conscious, and socially impactful",,Tier 1,100,40,80,100,0,100,10,8,16,25,0,10,69,0,69,173,
application_548_bundle.zip,Applicant_548,CSD/HDM/MSA/2021/05577,Mombasa,Textile,Locked Mpesa Statements,721559200,Fail,Locked Mpesa Statements; cant verify financials,4,"Legally registered for 3 years with functional leadership (chairperson, secretary,treasurer).",0,Submitted locked Mpesa statement,4,Consistent monthly orders; growing channels; basic quality assurance,3,Direction clear; targets generic; budget rough.,5,"Textiles Value Chain - design, fabric sourcing, production, finishing, and retail.",4,Strong gender/youth participation; 1–2 green practices,DQ1,,80,0,80,60,100,80,8,0,16,15,15,8,62,#N/A,0,520,
application_549_bundle.zip,Applicant_549,CLG - GYFAML,Kilifi,Edible Oils,Invalid financial statement,705519880,Fail,Invalid financial statement,5,Registered >3 years with documented leadership and consistent operations; limited evidence of formal governance records,0,No financial evidence from the last 12 months,4,Consistent market engagement with defined buyers and competitiveness in pricing and product quality,4,Strong plan with quantified targets and timeline for mechanization; minor gaps in risk and resource detailing,5,Operates across multiple value chain nodes with strong upstream and downstream linkages.,5,"≥50% women participation and ≥2 green initiatives (reforestation, circular economy, climate resilience",,Tier 1,100,0,80,80,100,100,10,0,16,20,15,10,71,0,71,153,
application_550_bundle.zip,Applicant_550,CSD/MAT/SHC/07/222/0564 ,Nairobi,Other,Bank statement,713879338,Fail,Out of scope in value chain,4,"Registered MSME Association , operational ≥2 years with growing membership (14 → 22). Functioning leadership and structure evident",0,"Turnover: KES 40,000 (2022) → 73,000 (2024). Positive growth but very low absolute figures (<1M). but no evidence to prove",2,"Localized operations in waste management, composting, and small-scale urban farming.",2,"Goal to “double or triple revenue” with partner funding, but no concrete execution plan, budget, or timelines.",3,"Waste management and composting align with green economy and urban agriculture, which are relevant to sustainability and recycling under KJET’s environmental resilience goals.",4,Very high youth participation  and balanced gender mix ,P1,Tier 1,80,0,40,40,60,80,8,0,8,10,9,8,43,5,38,467,
application_551_bundle.zip,Applicant_551, ASS-CB3DEC2,Uasin Gishu,Textile,Bank statement,713830707,Fail,Invalid registration certificate,0,Invalid registration.,1,Thin evidence.,2,Weak market channels with unclear evidence.,4,Well detailed problems and solutions with minor gaps.,5,It is a priority VC with strong linkages.,4,<50% of women but with more than 2 green practices.,P1,,0,20,40,80,100,80,0,4,8,20,15,8,55,5,50,370,
application_552_bundle.zip,Applicant_552, PVT-3B1V8O7Z,Kilifi,Edible Oils,Invalid financial statement,769410954,Fail,Invalid financial statement,4,Registered entity with clear governance and operational evidence; still relatively young with limited historical track record,1,"Thin financial evidence, irregular transactions",4,Good market positioning and competitiveness demonstrated through defined customer strategy and differentiation,4,Well-structured and feasible business proposal; shows scalability potential and alignment with value chain growth.,5,Strong vertical integration and complete participation across the cashew nut value chain,3,strong environmental sustainability but weak gender inclusivity balance.,,Tier 2,80,20,80,80,100,60,8,4,16,20,15,6,69,0,69,173,
application_553_bundle (1).zip,Applicant_553,BN/2011/138892,Laikipia,Other,Mpesa statement,724259797,Fail,Out of scope in value chain,5,Registered for 14 years,1,Thin evidence,3,"Evidence of local repeat customers exists, but limited channels and lack of documented purchase agreements prevent higher scoring.",3,"Clear objective but lacks detailed costed budget, risk mitigation, and timeline",4,no linkages or processing,3,limited formal inclusivity policies or multiple green initiatives.,,Tier 2,100,20,60,60,80,60,10,4,12,15,12,6,59,0,59,272,
