,,"Eligibility Criteria
Decision Box – Eligibility
If any E1–E5 fails → mark INELIGIBLE; exclude from scoring.
If all pass → proceed to Primary Criteria scoring.",,,,,,,"Scoring Rubrics (0–5 anchors per criterion)
Choose the best-fit level per criterion.
Evidence Box – Financial
Accept: bank/M-Pesa PDFs, screenshots (machine-readable if possible), Excel exports, signed income summaries, simple stock/COGS ledgers.",,,,,,,,,,,, Disqualifiers & Penalties,TIERS,NORMALIZED SCORE,,,,,,WEIGHTED SCORING,,,,,,,COMPOSITE SCORE,,RANK,
application_KJET-20251228155759-HL2N_with_attachments_2026-01-15_15-55-49,Applicant_KJET-20251228155759-HL2N,BN/2012/201703,MOMBASA,Blue Economy,,No,Yes,Very minimal transactions uploaded,5,"Registered in 2013, with a well functional governance",1,Very mininal transaction evidence,4,"90% B2B with hotels/schools, growing channels including digital, consistent monthly orders",5,"Detailed expansion plan with costed budget (10 ponds, 5M revenue target), SMART targets, risk mitigation",5,"Priority VC (Blue Economy), aquaculture production node, documented upstream/downstream linkages",5,"51% women-owned, 75% female board, 3+ green practices",,,100,20,80,100,100,100,10,4,16,25,15,10,80,0,80,1,
application_KJET-20251230095810-Q3KR_with_attachments_2026-01-15_15-55-46,Applicant_KJET-20251230095810-Q3KR,BN-EZCQ73AK,MOMBASA,OTHER,"Solar energy resale, installation, and community sensitization.",No,Yes,Very minimal transactions uploaded,4,"Registered in 2023, with a basic leadership structure",1,Very mininal transaction evidence,1,"70% B2C online platform, no physical location",2,"Aspirational targets (150-200 installations), vague plan, no concrete budget",0,"Not in priority value chain (solar energy services, not Blue Economy)",4,"Women-owned leadership, 4 documented green practices""",,,80,20,20,40,0,80,8,4,4,10,0,8,34,0,34,19,
application_KJET-20251230105655-BSOF_with_attachments_2026-01-15_15-55-43,Applicant_KJET-20251230105655-BSOF,103835,MOMBASA,OTHER,Social services/NGO,No,Yes,Very minimal transactions,4,"Registered in 2022, with a basic leadership structure",2,Turnover is less than 1M,0,"No market evidence - operates as social enterprise/NGO, not commercial MSME",0,No plan provided - all questions answered with single words or 'yes/no,0,"Not in priority value chain (social services/NGO, not Blue Economy)",1,"90% women-owned, no green practices mentioned",,,80,40,0,0,0,20,8,8,0,0,0,2,18,0,18,21,
application_KJET-20251230150438-GYBY_with_attachments_2026-01-15_15-55-36,Applicant_KJET-20251230150438-GYBY,Non,MOMBASA,,,No,Yes,"No registration certificate, no financial document",0,"No valid registration number provided, zero members/employees, no governance",0,No financial document attached,0,"No market evidence, competitors listed as 'Neighbors', no business description",0,"No plan provided, all responses are 'No', 'Good', or 'N/A",0,"Not in priority value chain, no business activities described",0,"No evidence of inclusion, zero members, green practices response is 'Good' and 'No",P2,,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,22,
application_KJET-20251230150619-EZRC_with_attachments_2026-01-15_15-55-33,Applicant_KJET-20251230150619-EZRC,DSD/JMV/CD/2021/434,MOMBASA,Blue Economy,,No,Yes,Very minimal transaction evidence,5,"Registered in 2021, 4 years operational, comprehensive leadership",2,Turnover is less than 1M,2,"100% B2C to individuals, weak channels, intermittent sales evidenced by 24K revenue",2,"Aspirational eco-tourism plans (boardwalk, restaurant, conference hall), no concrete budget or feasibility",4,"Priority VC (Blue Economy), mud crab fattening + eco-tourism, documented community linkages",5,"75% female leadership, women-founded, 4+ documented green practices",,,100,40,40,40,80,100,10,8,8,10,12,10,58,0,58,8,
application_KJET-20251230193653-JNSB_with_attachments_2026-01-15_15-55-30,Applicant_KJET-20251230193653-JNSB,DSD/JMV/CD/2022/968,MOMBASA,Blue Economy,,No,Yes,Very minimal transactions uploaded,4,"Registered in 2022, with a very good leadership structure",1,Minimal transactions (50K in 2024 only),2,"100% B2B planned (banks buy seedlings), but no fish sales yet, weak channels",3,"Clear objectives and expansion plans, lacks detailed",4,"Priority VC (Blue Economy), aquaculture + mangrove restoration",5,"60% female leadership, women-founded, 3 documented green practices",,,80,20,40,60,80,100,8,4,8,15,12,10,57,0,57,9,
application_KJET-20251231113029-TLGX_with_attachments_2026-01-15_15-55-25,Applicant_KJET-20251231113029-TLGX,CS/1030,MOMBASA,OTHER,Handicraft/wood carving,Yes,Yes,All requirements met,5,"Registered 1963, 62 years operational, well documented governance",4,"Turnover is 5M - 10M, with mostly stable income",4,"70% export to tourists, 30% B2C local, multi-channel sales, established market presence",2,"Vague expansion plans (online sales, US stores), no concrete budget",0,Not in priority value chain (handicraft/wood carving),0,No evidence of female inclusion in the managhement,,,100,80,80,40,0,0,10,16,16,10,0,0,52,0,52,14,
application_KJET-20251231121142-UOXY_with_attachments_2026-01-15_15-55-21,Applicant_KJET-20251231121142-UOXY,DSD/MSA/OD/2015/5000155,MOMBASA,Edible Oils,,No,Yes,Locked financial document,5,"Registered in 2015, with a good governance (chairperson, secretary & treasurer)",0,Locked financial documents,1,"Inconsistent sales of beauty products, no channels, untested cold-pressed oil concept",4,"Detailed 10M KES investment plan with costed budget, but no track record to validate feasibility",3,"Priority VC (Edible Oils), planned processing role, weak current linkages",5,"100% women-owned, all female members and leadership, 8+ documented green practices",P2,,100,0,20,80,60,100,10,0,4,20,9,10,53,3,50,15,
application_KJET-20251231223742-OJA3_with_attachments_2026-01-15_15-55-15,Applicant_KJET-20251231223742-OJA3,DSD/CHN/CD/CBO/2016/540,MOMBASA,Blue Economy,,Yes,Yes,All requirements met,5,"Registered in 2016, with a good leadership structure",2,"Turnover is less than 1M, but has stable financials",2,"50% B2B/50% B2C local sales, no digital channels used",2,"Vague objectives (enhance livelihoods), unclear resourcing, minimal implementation detail",4,"Priority VC (Blue Economy), mariculture production + feed milling, documented community linkages",3,"60% female members, women-owned, innovative tide energy use",,,100,40,40,40,80,60,10,8,8,10,12,6,54,0,54,12,
application_KJET-20251231234533-AYXM_with_attachments_2026-01-15_15-55-12,Applicant_KJET-20251231234533-AYXM,DSD/LKN/CD/CBO/2022/04813,MOMBASA,Textiles,,No,Yes,No financial document attached,4,"Registered in 2022, with a good documented leadership",0,No financial document attached,3,"100% B2B school uniform sales, growing network, one primary channel, but no digital precence",3,"Clear expansion plan (Kwale training center), lacks detailed budget and relies on donations",3,"Priority VC (Textiles), garment manufacturing role, weak documented linkages",2,"80% female members, women-founded, youth empowerment mission, but no mention of green practices",P2,,80,0,60,60,60,40,8,0,12,15,9,4,48,3,45,17,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MURANG'A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
application_KJET-20251210165951-CVA8_with_attachments_2026-01-13_22-01-01,Applicant_KJET-20251210165951-CVA8,10785,MURANG'A,Coffee,,Yes,Yes,All requirements met,5,"Registered in 2005 (19+ yrs), full governance (5 officers), 5 factories, 4,850 members. Long operational history",4,"Turnover is 5M - 10M, with stable financials",3,Markets with NKPCU and Alliance Berries. No digital channels. No B2B/B2C breakdown. Ready market established,4,"Clear plan: install milling plant + roaster for value addition, electric motors. Plans local market expansion. No costed budget",5,"Coffee (priority VC), wet milling across 5 factories. Plans full value addition (milling + roasting + packaging). 80% of farmer livelihood",3,"20% of share holders are women, female manager. Green initiatives: Disease-resistant varieties, organic fertilizer, indigenous trees",,,100,80,60,80,100,60,10,16,12,20,15,6,79,0,79,7,
application_KJET-20251222115902-XADX_with_attachments_2026-01-13_22-01-04,Applicant_KJET-20251222115902-XADX,CS13858,MURANG'A,Dairy,"They also buy and sell feeds and mineral
supplements to farmers on check off system.",Yes,Yes,All requirements met,5,"Registered 2011 (13+ yrs), full governance (5 officers), Strong operational history",4,"Turnover is 5M - 10M, with stable financials",4,"98% B2B (processors, institutions, hotels), 2% B2C. 14,000L daily collection. Prompt monthly payments to farmers",4,"Clear plan: increase cooling capacity (5K→14K liters), yoghurt production. Quarterly reviews. No costed budget provided",4,"Dairy (priority VC), milk aggregation/grading/transport. 98% milk, 2% feeds. Plans yoghurt value addition. ",3,"60% female membership. Biogas partnership (Homebiogas), fruit tree planting, income diversification",,,100,80,80,80,80,60,10,16,16,20,12,6,80,0,80,6,
application_KJET-20251222124024-ICCR_with_attachments_2026-01-13_22-01-07,Applicant_KJET-20251222124024-ICCR,PVT/2016/008227,MURANG'A,Edible Oils,,Yes,Yes,All requirements met,5,"Registered in 2016, with a full governance structure (Secretary, CEO, Director, Manager)",2,Turnover is less than 1M,5,"100% exports (Europe, UK, USA, China). EPZ status. 40% avocado oil, 60% fresh exports. Xero accounting. International certifications",5,"Detailed plan: upgrade oil lines, expand cold storage, Western Kenya expansion (4,000 farmers). 5-year business plan available. Clear KPIs",5,"Edible Oils (priority VC), vertically integrated: 8,500 farmers→processing→export. Extra virgin avocado oil + fresh exports. Biogas innovation",4,"46% female membership. CARBON NEUTRAL, biogas waste-to-energy, tree nursery, regenerative practices",,,100,40,100,100,100,80,10,8,20,25,15,8,86,0,86,1,
application_KJET-20251222161100-MQCY_with_attachments_2026-01-13_22-01-29,Applicant_KJET-20251222161100-MQCY,C.83904,MURANG'A,Tea,,Yes,Yes,All requirements met,5,"Registered in 1998, with a good governance structure (Chairperson, Secretary, CEO, Director). Long operational history",2,"Turnover is less than 1M, with stable financials",5,"97% exports (UK, Pakistan, Egypt), 3% domestic. Direct overseas buyers (higher margins). SAP accounting system. ",4,"Clear plan: automate withering, install solar energy, expand direct export markets. Regular reviews. No costed budget provided",5,"Tea (priority VC), full processing: collection→withering→processing→drying→sorting→export. 5,978 farmers",4,"More than 30% female farmers, women Chairperson, 2 Board female members. Rainforest Alliance, Fair Trade certifications",,,100,40,100,80,100,80,10,8,20,20,15,8,81,0,81,4,
application_KJET-20251222223345-SDEH_with_attachments_2026-01-13_22-01-38,Applicant_KJET-20251222223345-SDEH,CS/18706,MURANG'A,OTHER,Not clearly stated on the value chain information,No,Yes,Very minimal transactions recorded,4,"Registered in 2015, with the full governance (6 officers).",1,Very minimal transactions uploaded,0,No market evidence explained. It only explains about KENYA,1,NON-SERIOUS APPLICATION: Copy-pasted same generic text for ALL strategy questions. No actual business plan,0,"NOT priority VC - Avocado farming/export marked as ""OTHER"". Not in KJET priority sectors",1,Generic information on the green innovations,,,80,20,0,20,0,20,8,4,0,5,0,2,19,0,19,15,
